"rgb_data_id","rgb_data_idf_measure","tray","pot_position","plant_names[count]","Ril_no","nppc_code","rgb_data_idf_plant","rgb_data_date","rgb_data_perimeter","rgb_data_area","rgb_data_bb_area","rgb_data_roundness","rgb_data_roundness_c_hull","rgb_data_c_hull_area","rgb_data_solidity","rgb_data_circle_diam","rgb_data_eccentricity","rgb_data_eccentricity2","rgb_data_mlwi","rgb_data_mlwi2","rgb_data_skeleton_perim","rgb_data_g1","rgb_data_g2","rgb_data_g3","rgb_data_g4","rgb_data_g5"
26679,3779,"PSI_Tray026","A1","26_a1","Cvi-0",2,392,"2015-08-19 11:35:47",224.871398493195,639.000097884665,-1,0.158797019606699,-1,-1,-1,-1,0.179316096747289,-1,-1,-1,-1,6487,1876,152,17486,109
27484,3827,"PSI_Tray026","A1","26_a1","Cvi-0",2,392,"2015-08-19 16:55:49",228.094157802054,597.091556255794,-1,0.144218996754081,-1,-1,-1,-1,0.219732377232857,-1,-1,-1,-1,9799,2426,224,11498,95
28288,3875,"PSI_Tray026","A1","26_a1","Cvi-0",2,392,"2015-08-20 10:46:19",240.632151541071,739.40272385759,-1,0.160466212395924,-1,-1,-1,-1,0.122049898853675,-1,-1,-1,-1,5077,1841,199,22618,242
29093,3923,"PSI_Tray026","A1","26_a1","Cvi-0",2,392,"2015-08-21 09:45:03",277.191242515689,947.887803191123,-1,0.155027159138336,-1,-1,-1,-1,0.110368199303902,-1,-1,-1,-1,6047,2262,220,29083,0
29922,3979,"PSI_Tray026","A1","26_a1","Cvi-0",2,392,"2015-08-22 09:49:36",263.798253593097,1139.93156192004,-1,0.205847127132535,-1,-1,-1,-1,0.0906015561260024,-1,-1,-1,-1,17276,6093,626,21215,0
30724,4027,"PSI_Tray026","A1","26_a1","Cvi-0",2,392,"2015-08-23 15:58:50",261.045174537191,1319.13955280851,-1,0.243259196059195,-1,-1,-1,-1,0.139504177833833,-1,-1,-1,-1,9345,1912,173,41979,18
26680,3779,"PSI_Tray026","A2","26_a2","CA52",50,413,"2015-08-19 11:35:47",110.900893810949,132.167545825264,-1,0.135040674055288,-1,-1,-1,-1,0.359708430171139,-1,-1,-1,-1,1019,385,30,4370,2
27485,3827,"PSI_Tray026","A2","26_a2","CA52",50,413,"2015-08-19 16:55:49",105.917616860223,121.687405790743,-1,0.136307293769344,-1,-1,-1,-1,0.459369024856597,-1,-1,-1,-1,1393,420,32,3511,0
28289,3875,"PSI_Tray026","A2","26_a2","CA52",50,413,"2015-08-20 10:46:19",138.069512953337,162.105652277091,-1,0.106859327409854,-1,-1,-1,-1,0.262080198557357,-1,-1,-1,-1,843,330,3,5922,26
29094,3923,"PSI_Tray026","A2","26_a2","CA52",50,413,"2015-08-21 09:45:03",160.54289617961,216.441332433135,-1,0.105528041022657,-1,-1,-1,-1,0.192119595420696,-1,-1,-1,-1,1123,485,10,7815,13
29923,3979,"PSI_Tray026","A2","26_a2","CA52",50,413,"2015-08-22 09:49:36",183.507996152774,268.685791985961,-1,0.100263896866472,-1,-1,-1,-1,0.18055050872093,-1,-1,-1,-1,3047,2052,231,6353,0
30725,4027,"PSI_Tray026","A2","26_a2","CA52",50,413,"2015-08-23 15:58:50",230.496866994957,376.948522984777,-1,0.0891583159162406,-1,-1,-1,-1,0.138311104968558,-1,-1,-1,-1,1957,793,1,13548,18
26681,3779,"PSI_Tray026","A3","26_a3","CA13",15,414,"2015-08-19 11:35:47",198.470735578633,316.375236546718,-1,0.100929794340949,-1,-1,-1,-1,0.169326281903886,-1,-1,-1,-1,2733,778,63,9413,3
27486,3827,"PSI_Tray026","A3","26_a3","CA13",15,414,"2015-08-19 16:55:49",196.262574177752,291.653163093725,-1,0.095148418349541,-1,-1,-1,-1,0.16995852261505,-1,-1,-1,-1,3580,761,21,7375,0
28290,3875,"PSI_Tray026","A3","26_a3","CA13",15,414,"2015-08-20 10:46:19",219.258838565112,377.597522482328,-1,0.0987017337999805,-1,-1,-1,-1,0.156096351691939,-1,-1,-1,-1,1911,558,4,12745,0
29095,3923,"PSI_Tray026","A3","26_a3","CA13",15,414,"2015-08-21 09:45:03",243.216499952316,495.679375508901,-1,0.105299096339617,-1,-1,-1,-1,0.158242827038418,-1,-1,-1,-1,2206,784,81,15652,6
29924,3979,"PSI_Tray026","A3","26_a3","CA13",15,414,"2015-08-22 09:49:36",281.908514925743,543.89763447507,-1,0.0860024149682668,-1,-1,-1,-1,0.153943951525644,-1,-1,-1,-1,6118,2389,169,14398,0
30726,4027,"PSI_Tray026","A3","26_a3","CA13",15,414,"2015-08-23 15:58:50",284.805614498955,688.696633484144,-1,0.10669418027295,-1,-1,-1,-1,0.184356070582038,-1,-1,-1,-1,2005,853,49,25954,33
26682,3779,"PSI_Tray026","A4","26_a4","CA61",58,415,"2015-08-19 11:35:47",72.516282732654,78.9856425537545,-1,0.188749996569752,-1,-1,-1,-1,0.316399286987522,-1,-1,-1,-1,1026,375,12,2071,0
